fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240506 230353	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1377	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0101260770484721	0.729257430747325	1689	1567	11356	61325823.0884558	41
20240506 231841	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2081	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100792858071541	0.831751051594163	942	1570	12229	62061545.7271364	42
20240506 233155	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1803	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.01011604343309	0.847919216839185	1506	1628	11946	61388866.5667166	43
20240506 234818	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6743	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0169008124912621	0.639866030311627	27	100	10792	60105979.0104948	44
20240506 235330	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	287	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.150886215203587	0.611669898222321	553	594	11828	58832281.8590705	45
20240507 000631	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1724	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100192933046164	0.78540562942369	1116	1475	11508	62284395.802099	46
20240507 002235	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1889	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0103667457971259	0.814960757846695	1287	1473	10975	61773890.5547226	47
20240507 003552	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3412	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0104649576431544	0.650934518223077	63	565	12884	60807850.0749625	48
20240507 005006	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1931	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100456408928817	0.750998891484073	712	1448	11734	61381388.3058471	49
20240507 010901	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2693	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0101168479777341	0.820587135638547	1363	1513	13205	61573065.9670165	50
20240507 013301	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1011	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.010019825728521	0.764310902772877	1353	174	13343	60378856.071964	51
20240507 015527	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3058	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.010170592168487	0.715908633865305	1484	1083	13359	61328397.3013493	52
20240507 020043	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	506	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0378620673186488	0.785197660898729	1044	1559	12196	61062854.5727136	53
20240507 021401	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1724	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100992690792204	0.82950169640389	1473	1394	12077	62298955.0224888	54
20240507 023106	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2023	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100096988129303	0.835243797281754	1398	1403	11938	61863541.2293853	55
20240507 024546	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1963	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100029748569796	0.774490494690704	1775	1376	12746	61839901.0494753	56
20240507 033304	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6595	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.010110083609055	0.515017515826912	27	962	10274	60845526.2368816	57
20240507 035204	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	876	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.010026873539163	0.500737985655937	935	200	11090	60764182.9085457	58
20240507 040736	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	933	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100496328217079	0.500545853382948	988	697	12221	61288424.2878561	59
20240507 042219	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	956	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0102111353177304	0.500413685578756	1817	1018	11780	61647526.2368816	60
20240507 043921	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1003	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.010031766598732	0.520074010170006	2036	601	11225	62281821.5892054	61
20240507 045618	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	933	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100378859192425	0.57815942373934	2027	415	11659	61212205.3973013	62
20240507 051605	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1410	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100042548851414	0.517474751573617	1611	781	11778	61140542.7286357	63
20240507 053005	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	685	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0108910974891741	0.503864354505911	2048	515	11248	61459778.1109445	64
20240507 054111	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1243	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100145886555405	0.775100085534457	616	1299	11619	62169866.5667166	65
20240507 055327	1485	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1556	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0120724873646855	0.776499141588952	1031	1322	11858	61633736.131934	66
