fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240503 201313	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3374	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100484478187775	0.756875235041177	952	1729	11142	61507613.1934033	39
20240503 202716	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4435	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0101204324752227	0.67403540257155	2048	1999	15137	61498385.3073463	40
20240503 205838	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9730	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100333972074213	0.508174023797614	13	1587	11504	61678164.9175412	41
20240503 210758	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2498	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100258284603318	0.712521246132185	944	1608	11125	62309617.6911544	42
20240503 211627	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2183	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.010010582945737	0.812618748670394	882	1588	10430	62348500.7496252	43
20240503 211742	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100104010984969	0.833852821032842	9	1494	14141	51145335.832084	44
20240503 212856	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3305	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100127366841442	0.61701184418515	1096	1833	10484	62062242.8785607	45
20240503 214453	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4955	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.010020978166967	0.616270431704312	1082	1824	11274	61095901.0494753	46
20240503 215349	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2450	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100444606788167	0.652976788442097	1140	1788	10517	62123602.6986507	47
20240503 220131	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2018	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100277054109354	0.653696994832594	1117	1774	10363	62766112.4437781	48
